dish_id,ingredients,total_mass,total_calories
dish_1561662054,"pepper, white rice, mixed greens, garlic, soy sauce, millet, lemon juice, bok choy, olive oil, onions, vinegar, green beans, pork, apple, sugar, salt, parsley",292.0,419.438782
dish_1560455030,"cherry tomatoes, cucumbers, baby carrots",103.0,20.59
dish_1558372433,deprecated,143.0,74.360001
dish_1565640549,"tomatoes, cilantro, olive oil, mustard greens, lemon juice, onions, cucumbers, salt, arugula, jalapenos, asparagus, lime, mangos, cherry tomatoes",139.0,45.482903
dish_1563207364,"scrambled eggs, yam, grapes, egg whites, olive oil, sweet potato",271.0,309.269989
dish_1561575474,"salt, eggplant, roasted potatoes, cauliflower, olive oil",183.0,120.058434
dish_1563216717,"garlic, squash, cherry tomatoes, chicken breast, spinach (raw), parmesan cheese, wheat berry, olive oil, thyme, honeydew melons, salt, broccoli",332.0,246.007996
dish_1565972591,chicken apple sausage,122.0,195.199997
dish_1568649312,berries,78.0,44.459999
dish_1562183096,"pepper, chard, blueberries, mushroom, vinegar, arugula, mustard, olive oil, walnuts, salt",95.0,41.18898
dish_1563476551,"shallots, salmon, mushroom, ginger, squash, brownies, lemon juice, sour cream, lime, garlic, cheese pizza, wine, cream, brown rice, jalapenos, spinach (raw), beef, pasta, thyme, olive oil, broccoli, onions, zucchini, salt, cilantro, chili",750.0,1116.391113
dish_1559844951,"almonds, potatoes",122.0,274.335999
dish_1562963704,"radishes, bok choy, vinegar, salt, roasted potatoes, mixed greens, soy sauce, caesar salad, garlic, sugar, pepper, white rice, pork, rice noodles, cabbage, pizza, olive oil, carrot, green onions",479.0,663.755798
dish_1566417398,"mustard, vinegar, mixed greens, celery root, olive oil, salt, cherry tomatoes",46.0,56.892494
dish_1562611680,"cilantro, garlic, olive oil, pepperoni pizza, lemon juice, onions, vinegar, blueberries, salt, caesar salad, steak, kale, jalapenos, spinach (raw), mustard, white rice, radishes, pineapple",256.0,326.888977
